State_Code,State_Abv,Offense_Type,Total_Offenses
17,IL,Motor Vehicle Theft,11430
17,IL,Robbery,5955
17,IL,Stolen Property Offenses,458
18,IN,Arson,720
18,IN,Bribery,19
18,IN,Burglary/ Breaking & Entering,11661
18,IN,Counterfeiting/ Forgery,1800
18,IN,Destruction/ Damage/ Vandalism ,10585
18,IN,Embezzlement,487
18,IN,Extortion/ Blackmail,141
18,IN,Fraud Offenses,16032
18,IN,Larceny/ Theft Offenses,65136
18,IN,Motor Vehicle Theft,12585
18,IN,Robbery,2905
18,IN,Stolen Property Offenses,1398
19,IA,Arson,327
19,IA,Bribery,72
19,IA,Burglary/ Breaking & Entering,7659
19,IA,Counterfeiting/ Forgery,2565
19,IA,Destruction/ Damage/ Vandalism ,15845
19,IA,Embezzlement,189
19,IA,Extortion/ Blackmail,87
19,IA,Fraud Offenses,7832
19,IA,Larceny/ Theft Offenses,32882
19,IA,Motor Vehicle Theft,5799
19,IA,Robbery,681
19,IA,Stolen Property Offenses,575
20,KS,Arson,433
20,KS,Bribery,6
20,KS,Burglary/ Breaking & Entering,6364
20,KS,Counterfeiting/ Forgery,2457
20,KS,Destruction/ Damage/ Vandalism ,22556
20,KS,Embezzlement,418
20,KS,Extortion/ Blackmail,347
20,KS,Fraud Offenses,10446
20,KS,Larceny/ Theft Offenses,34286
20,KS,Motor Vehicle Theft,5681
20,KS,Robbery,645
20,KS,Stolen Property Offenses,1395
21,KY,Arson,418
21,KY,Bribery,42
21,KY,Burglary/ Breaking & Entering,12659
21,KY,Counterfeiting/ Forgery,1962
21,KY,Destruction/ Damage/ Vandalism ,20219
21,KY,Embezzlement,1103
21,KY,Extortion/ Blackmail,111
21,KY,Fraud Offenses,9652
21,KY,Larceny/ Theft Offenses,51527
21,KY,Motor Vehicle Theft,11100
21,KY,Robbery,2238
21,KY,Stolen Property Offenses,3923
22,LA,Arson,255
22,LA,Bribery,13
22,LA,Burglary/ Breaking & Entering,15497
22,LA,Counterfeiting/ Forgery,1922
22,LA,Destruction/ Damage/ Vandalism ,21654
22,LA,Embezzlement,740
22,LA,Extortion/ Blackmail,218
22,LA,Fraud Offenses,6063
22,LA,Larceny/ Theft Offenses,54699
22,LA,Motor Vehicle Theft,7497
22,LA,Robbery,1348
22,LA,Stolen Property Offenses,2356
23,ME,Arson,165
23,ME,Bribery,2
23,ME,Burglary/ Breaking & Entering,1713
23,ME,Counterfeiting/ Forgery,460
23,ME,Destruction/ Damage/ Vandalism ,6209
23,ME,Embezzlement,37
23,ME,Extortion/ Blackmail,36
23,ME,Fraud Offenses,3102
23,ME,Larceny/ Theft Offenses,13207
23,ME,Motor Vehicle Theft,891
23,ME,Robbery,161
23,ME,Stolen Property Offenses,111
24,MD,Arson,192
24,MD,Bribery,3
24,MD,Burglary/ Breaking & Entering,3691
24,MD,Counterfeiting/ Forgery,1092
24,MD,Destruction/ Damage/ Vandalism ,13445
24,MD,Embezzlement,272
24,MD,Extortion/ Blackmail,157
24,MD,Fraud Offenses,10740
24,MD,Larceny/ Theft Offenses,28682
24,MD,Motor Vehicle Theft,4026
24,MD,Robbery,1701
24,MD,Stolen Property Offenses,599
25,MA,Arson,311
25,MA,Bribery,15
25,MA,Burglary/ Breaking & Entering,9582
25,MA,Counterfeiting/ Forgery,2322
25,MA,Destruction/ Damage/ Vandalism ,29644
25,MA,Embezzlement,346
25,MA,Extortion/ Blackmail,608
25,MA,Fraud Offenses,24521
25,MA,Larceny/ Theft Offenses,55528
25,MA,Motor Vehicle Theft,6819
25,MA,Robbery,2618
25,MA,Stolen Property Offenses,1695
26,MI,Arson,1472
26,MI,Bribery,17
26,MI,Burglary/ Breaking & Entering,19990
26,MI,Counterfeiting/ Forgery,2457
26,MI,Destruction/ Damage/ Vandalism ,47250
26,MI,Embezzlement,1608
26,MI,Extortion/ Blackmail,604
26,MI,Fraud Offenses,34204
26,MI,Larceny/ Theft Offenses,94082
26,MI,Motor Vehicle Theft,21283
26,MI,Robbery,4014
26,MI,Stolen Property Offenses,5137
27,MN,Arson,724
27,MN,Bribery,5
27,MN,Burglary/ Breaking & Entering,14430
27,MN,Counterfeiting/ Forgery,4017
27,MN,Destruction/ Damage/ Vandalism ,35062
27,MN,Embezzlement,197
27,MN,Extortion/ Blackmail,205
27,MN,Fraud Offenses,22930
27,MN,Larceny/ Theft Offenses,88623
27,MN,Motor Vehicle Theft,14562
27,MN,Robbery,3996
27,MN,Stolen Property Offenses,4665
