State_Code,State_Abv,Offense_Type,Total_Offenses
45,SC,Human_Trafficking,26
45,SC,Kidnapping,1032
45,SC,Sex_Offense,3923
46,SD,Assault,11942
46,SD,Homicide,46
46,SD,Human_Trafficking,8
46,SD,Kidnapping,139
46,SD,Sex_Offense,1155
47,TN,Assault,137869
47,TN,Homicide,761
47,TN,Human_Trafficking,108
47,TN,Kidnapping,2144
47,TN,Sex_Offense,5768
48,TX,Assault,435319
48,TX,Homicide,2370
48,TX,Human_Trafficking,549
48,TX,Kidnapping,3102
48,TX,Sex_Offense,24163
49,UT,Assault,31081
49,UT,Homicide,98
49,UT,Human_Trafficking,64
49,UT,Kidnapping,1050
49,UT,Sex_Offense,5134
50,VT,Assault,3589
50,VT,Homicide,15
50,VT,Human_Trafficking,4
50,VT,Kidnapping,76
50,VT,Sex_Offense,361
51,VA,Assault,94446
51,VA,Homicide,666
51,VA,Human_Trafficking,62
51,VA,Kidnapping,1738
51,VA,Sex_Offense,5847
53,WA,Assault,75137
53,WA,Homicide,361
53,WA,Human_Trafficking,59
53,WA,Kidnapping,1252
53,WA,Sex_Offense,5834
54,WV,Assault,12807
54,WV,Homicide,107
54,WV,Human_Trafficking,62
54,WV,Kidnapping,168
54,WV,Sex_Offense,1291
55,WI,Assault,42121
55,WI,Homicide,401
55,WI,Human_Trafficking,80
55,WI,Kidnapping,971
55,WI,Sex_Offense,4976
56,WY,Assault,5202
56,WY,Homicide,33
56,WY,Human_Trafficking,13
56,WY,Kidnapping,68
56,WY,Sex_Offense,551
