State_Code,State_Abv,Offense_Type,Total_Offenses
37,NC,Animal Cruelty,574
37,NC,Drugs/Narcotic Offenses,90542
37,NC,Pornography,1820
37,NC,Prostitution Offenses,255
37,NC,Weapon Law Violations,18670
38,ND,Animal Cruelty,119
38,ND,Drugs/Narcotic Offenses,12803
38,ND,Pornography,246
38,ND,Prostitution Offenses,40
38,ND,Weapon Law Violations,679
39,OH,Animal Cruelty,322
39,OH,Drugs/Narcotic Offenses,57367
39,OH,Pornography,1288
39,OH,Prostitution Offenses,552
39,OH,Weapon Law Violations,14807
40,OK,Animal Cruelty,194
40,OK,Drugs/Narcotic Offenses,26527
40,OK,Pornography,938
40,OK,Prostitution Offenses,228
40,OK,Weapon Law Violations,5372
41,OR,Animal Cruelty,462
41,OR,Drugs/Narcotic Offenses,8316
41,OR,Pornography,487
41,OR,Prostitution Offenses,304
41,OR,Weapon Law Violations,5819
42,PA,Animal Cruelty,60
42,PA,Drugs/Narcotic Offenses,5890
42,PA,Pornography,107
42,PA,Prostitution Offenses,69
42,PA,Weapon Law Violations,4180
44,RI,Animal Cruelty,44
44,RI,Drugs/Narcotic Offenses,2556
44,RI,Pornography,352
44,RI,Prostitution Offenses,8
44,RI,Weapon Law Violations,937
45,SC,Animal Cruelty,379
45,SC,Drugs/Narcotic Offenses,48001
45,SC,Pornography,959
45,SC,Prostitution Offenses,99
45,SC,Weapon Law Violations,9285
46,SD,Animal Cruelty,30
46,SD,Drugs/Narcotic Offenses,10688
46,SD,Pornography,242
46,SD,Prostitution Offenses,33
46,SD,Weapon Law Violations,859
47,TN,Animal Cruelty,571
47,TN,Drugs/Narcotic Offenses,88169
47,TN,Pornography,950
47,TN,Prostitution Offenses,407
47,TN,Weapon Law Violations,15627
48,TX,Animal Cruelty,2952
48,TX,Drugs/Narcotic Offenses,175637
48,TX,Pornography,4903
48,TX,Prostitution Offenses,2860
48,TX,Weapon Law Violations,33509
49,UT,Animal Cruelty,116
49,UT,Drugs/Narcotic Offenses,39435
49,UT,Pornography,535
